n_total,split,ratio,imbalance,n_hsp1,share_hsp1,mean_rho_HSP1,mean_raw_HSP1,mass_HSP1,n_hsp2,share_hsp2,mean_rho_HSP2,mean_raw_HSP2,mass_HSP2,n_hsp3,share_hsp3,mean_rho_HSP3,mean_raw_HSP3,mass_HSP3,n_hsp4,share_hsp4,mean_rho_HSP4,mean_raw_HSP4,mass_HSP4,n_hsp5,share_hsp5,mean_rho_HSP5,mean_raw_HSP5,mass_HSP5,rho_BS1_HSP1,N_BS1_HSP1,rho_BS1_HSP2,N_BS1_HSP2,rho_BS1_HSP3,N_BS1_HSP3,rho_BS1_HSP4,N_BS1_HSP4,rho_BS1_HSP5,N_BS1_HSP5,rho_BS2_HSP1,N_BS2_HSP1,rho_BS2_HSP2,N_BS2_HSP2,rho_BS2_HSP3,N_BS2_HSP3,rho_BS2_HSP4,N_BS2_HSP4,rho_BS2_HSP5,N_BS2_HSP5,rho_BS3_HSP1,N_BS3_HSP1,rho_BS3_HSP2,N_BS3_HSP2,rho_BS3_HSP3,N_BS3_HSP3,rho_BS3_HSP4,N_BS3_HSP4,rho_BS3_HSP5,N_BS3_HSP5
74454,40950-8376-8376-8376-8376,,0.5500040293335482,40950,0.5500040293335482,0.8851166065669691,3.0755762111066987,4731.245556973261,8376,0.11249899266661294,0.17874704556500096,0.6211047867213724,956.5762539343707,8376,0.11249899266661294,0.18214791483792733,0.6329220236315065,973.0571160241695,8376,0.11249899266661294,0.1783514817312266,0.6197302935663412,954.67385711718,8376,0.11249899266661294,0.18043146799495502,0.6269577664492237,964.7688122745587,0.6590708679397367,10157,0.14043606206928633,2142,0.13503102865180186,2090,0.13641271434218313,2151,0.13414437909490154,2059,1.0,15358,0.20076680075027387,3113,0.20255666668612732,3163,0.20088231058903047,3098,0.20020589327423885,3132,0.9962789517611708,15435,0.1950382738754427,3121,0.2088560491758527,3123,0.19775942026246618,3127,0.2069441316157246,3185
74454,44672-7446-7446-7445-7445,,0.599994627555269,44672,0.599994627555269,0.886932732276018,3.35218679767546,5157.185359519935,7446,0.10000805866709646,0.14640723073541398,0.5533501787627623,852.0740105732511,7446,0.10000805866709646,0.14791813671952236,0.5590606897272856,860.036881968649,7445,0.09999462755526903,0.14634016949755715,0.5530967189591055,851.7105336321898,7445,0.09999462755526903,0.14778198720487104,0.5585461088702313,859.3148106295087,0.6625187196885931,11104,0.11105830875005689,1859,0.11143900981153798,1900,0.11196888761085017,1888,0.11093487757118937,1848,1.0,16720,0.1665027267723521,2838,0.16340372125466318,2747,0.16488948773757175,2785,0.16411753043576444,2774,0.998279477139461,16848,0.16166065668383303,2749,0.1689116790923659,2799,0.16216213314424957,2772,0.16829355360765932,2823
74454,48395-6515-6515-6515-6514,,0.6499986568888173,48395,0.6499986568888173,0.8871825152268205,3.627387079984532,5581.164746880631,6515,0.08750369355575255,0.11956552197877508,0.48886268856023535,752.0711964648712,6515,0.08750369355575255,0.11989091589829164,0.4901931134494794,753.930289006909,6515,0.08750369355575255,0.1180238617059481,0.48255936488173795,743.2965875648092,6514,0.0874902624439251,0.1191760162380066,0.4872701322740216,749.8587764063099,0.6663656021771608,12065,0.09056298778267098,1655,0.08696343872467437,1603,0.08978094826196462,1656,0.09048307812162647,1620,1.0,18107,0.1326022976811827,2462,0.13824232594357047,2444,0.13088028434911173,2426,0.13177885975997414,2425,0.9951819435033006,18223,0.13553128047247157,2398,0.1344669830266301,2468,0.13341035250676794,2433,0.1352661108324192,2469
74454,52118-5584-5584-5584-5584,,0.7000026862223655,52118,0.7000026862223655,0.8858463853391129,3.9055304411819307,6009.259370093179,5584,0.07499932844440863,0.09617851920930771,0.4240330386582289,651.6195568386097,5584,0.07499932844440863,0.09352076693877359,0.4123155077527798,635.2540680590897,5584,0.07499932844440863,0.09411970617985443,0.4149561184468837,638.9615803163199,5584,0.07499932844440863,0.0951368971137958,0.4194407223497166,645.2270210163299,0.6631617609083236,12963,0.07338579899249673,1426,0.06927149747029067,1424,0.07200329644716463,1399,0.07197403043088965,1387,1.0,19558,0.10601432819717928,2076,0.10787681577172241,2084,0.102166248253124,2062,0.10607861249451529,2084,0.994377395109015,19597,0.10913543043824715,2082,0.10341398757430771,2076,0.10818957383927472,2123,0.10735804841598244,2113
74454,55840-4654-4654-4653-4653,,0.7499932844440863,55840,0.7499932844440863,0.8880580578382448,4.18759079806318,6442.801494443467,4654,0.06250839444489215,0.07369500824662206,0.3475049133025889,534.8523471753099,4654,0.06250839444489215,0.07422037942713301,0.349982273314873,538.3209050597899,4653,0.06249496333306471,0.0727038916028669,0.3428313551939001,528.31245358144,4653,0.06249496333306471,0.07387376611204541,0.3483478365616272,536.03439606353,0.6677378678835064,13947,0.05330311251450892,1153,0.05673234912047804,1200,0.05540674092518033,1155,0.054843608673334765,1144,1.0,20932,0.0845142933765002,1736,0.08283829560422229,1712,0.07979313979128438,1749,0.08252101271269525,1735,0.9964363056312278,20961,0.0832676188488571,1765,0.0830904935566987,1742,0.082911794092136,1749,0.08425667695010622,1774
74454,59563-3723-3723-3723-3722,,0.7999973137776345,59563,0.7999973137776345,0.8882111942467814,4.464505510553438,6869.178784311829,3723,0.05000402933354823,0.05517748760596902,0.27734417115092036,426.9542106790499,3723,0.05000402933354823,0.05488068118639744,0.27585230310835573,424.87379070314,3723,0.05000402933354823,0.05536473960292928,0.2782853747494633,428.28528578946987,3722,0.04999059822172079,0.05575794845025961,0.28026180003781304,431.0295248400398,0.6654271686516231,14862,0.04137200537040438,951,0.042871342260229664,938,0.0420857578781437,934,0.04133010205495446,914,1.0,22305,0.06474292048348584,1413,0.059252462045802666,1372,0.061274819698355375,1379,0.062130940308635536,1395,0.9992064140887211,22396,0.059417536964016845,1359,0.06251823925316001,1413,0.06273364123228875,1410,0.06381280298718885,1413
74454,63286-2792-2792-2792-2792,,0.8500013431111827,63286,0.8500013431111827,0.8860246424923833,4.741837709667288,7296.132994990872,2792,0.03749966422220431,0.038760735616865216,0.20744018731293404,319.41978905809015,2792,0.03749966422220431,0.038776906731745685,0.2075267320868264,319.54179125823026,2792,0.03749966422220431,0.03944532410404345,0.21110397649939985,324.5354222980702,2792,0.03749966422220431,0.03892905339764674,0.20834099250710136,320.69159871825974,0.6638203769941923,15813,0.031513365988266206,727,0.02780553584575278,672,0.03098930119129319,710,0.028305111087630373,677,1.0,23718,0.04156187315449508,1014,0.04260259539983655,1048,0.043543381240645725,1037,0.04384397951125637,1047,0.9942535504829579,23755,0.04320696770783436,1051,0.04592258894964772,1072,0.04380328988019143,1045,0.04463806959405348,1068
74454,67009-1862-1861-1861-1861,,0.900005372444731,67009,0.900005372444731,0.8881464329434362,5.017674675728457,7721.006785694017,1862,0.025008730222687833,0.024632982932122155,0.1391665721569502,214.17684293318004,1861,0.024995299110860396,0.024626266946057674,0.13912862950250904,214.1084428562903,1861,0.024995299110860396,0.024813220791726997,0.14018484449380966,215.58765223800987,1861,0.024995299110860396,0.024794424811787914,0.14007865467077193,215.4418726020299,0.6669711503087732,16751,0.01807869882050877,462,0.019366413770995364,472,0.019758387186229714,494,0.01701275801790701,420,1.0,25090,0.027012185368790388,690,0.027503907897027266,689,0.02736673392599411,695,0.027910787740607942,700,0.9974681485215355,25168,0.028808064607067307,710,0.02700847917015039,700,0.02731454126295717,672,0.029459728676848786,741
